%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
52.0, -97.72358584217727, -32.85876101069152, -2.0681646754965186, -17.30077719502151, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228576305906E9, 0.0, 2025-11-15 12:42:56.305
52.0, 111.02267008461058, 72.80089253745973, 135.3282798966393, 89.18539424333721, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228576305906E9, 0.0, 2025-11-15 12:42:56.305
0.0, -134.81030375277624, -53.66195451421663, -119.07841458916664, -82.93228151742369, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763362117E9, 0.0, 2025-11-15 12:42:56.336
1.0, -221.14589422987774, -121.46260081091896, -168.6395688019693, -139.7712810439989, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763496804E9, 0.0, 2025-11-15 12:42:56.349
1.0, -248.95953020034358, -151.92408595001325, -195.8286414798349, -165.12406284362078, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763496804E9, 0.0, 2025-11-15 12:42:56.349
2.0, -112.40830301819369, -63.206179201137275, -132.82254692632705, -96.55299715604633, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763664029E9, 0.0, 2025-11-15 12:42:56.366
2.0, -152.37661384465173, -68.29992294078693, -118.42393209692091, -81.06233153957874, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763664029E9, 0.0, 2025-11-15 12:42:56.366
3.0, -298.1691338173114, -173.49956879438832, -214.04195426404476, -173.91282773949206, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763671236E9, 0.0, 2025-11-15 12:42:56.367
3.0, -194.0390993510373, -125.598930161912, -188.98462456092238, -162.61085007339716, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763671236E9, 0.0, 2025-11-15 12:42:56.367
4.0, -117.63294325629249, -46.313051101285964, -110.63746038917452, -73.63489022757858, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763959026E9, 0.0, 2025-11-15 12:42:56.395
4.0, -270.1198841496371, -151.55383585439995, -196.93939176667482, -161.17472849041224, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763959026E9, 0.0, 2025-11-15 12:42:56.395
5.0, -242.22023048019037, -143.93191974470392, -198.10250065289438, -167.09499012026936, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76322857639661E9, 0.0, 2025-11-15 12:42:56.396
5.0, -123.560684686061, -51.915421234909445, -115.17769893538207, -64.76010763272643, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76322857639661E9, 0.0, 2025-11-15 12:42:56.396
6.0, -210.31140405824408, -112.07919182209298, -158.16784892603755, -130.92641764879227, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763973668E9, 0.0, 2025-11-15 12:42:56.397
6.0, -246.70437052706257, -150.52536336658522, -199.8752132318914, -175.85009591653943, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285763973668E9, 0.0, 2025-11-15 12:42:56.397
7.0, -165.84399358509108, -90.5411079772748, -155.0338127631694, -109.72492479998618, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285764095197E9, 0.0, 2025-11-15 12:42:56.409
7.0, -156.38204669719562, -72.08470169594511, -126.1356058055535, -88.42619455233216, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285764095197E9, 0.0, 2025-11-15 12:42:56.409
8.0, -265.45622890489176, -157.47783738421276, -206.66687155142426, -182.0171909434721, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285764252784E9, 0.0, 2025-11-15 12:42:56.425
8.0, -173.64168499270454, -102.63594443397596, -169.82885698787868, -135.53397439420223, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285764252784E9, 0.0, 2025-11-15 12:42:56.425
9.0, -143.10914175445214, -49.34237006539479, -111.30690248124301, -59.88327809050679, -0.06400000303983688, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632285764259648E9, 0.0, 2025-11-15 12:42:56.425
