%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -399.3315576687455, -340.5122811156325, -326.756929078605, -216.96281612943858, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139246085E9, 0.0, 2025-11-15 11:48:33.924
1.0, -451.84536289656535, -429.03384311683476, -504.2058322262019, 7.835090407170355, 0.0, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763225313938021E9, 0.0, 2025-11-15 11:48:33.938
1.0, -321.78286213753745, -249.13717544823885, -291.08015345130116, 177.48443219717592, 0.0, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763225313938021E9, 0.0, 2025-11-15 11:48:33.938
2.0, -411.6563979727216, -335.0501572303474, -310.10128462594, 277.5959441610612, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139547088E9, 0.0, 2025-11-15 11:48:33.954
2.0, -226.65476686460897, -189.70268535241485, -224.53237363975495, 334.64811798511073, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139547088E9, 0.0, 2025-11-15 11:48:33.954
3.0, -164.7968215974979, -117.66473240591586, -203.74600968603045, 235.64735630806535, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139554448E9, 0.0, 2025-11-15 11:48:33.955
3.0, -347.98834112705663, -248.66594805382192, -213.21917627379298, 348.90461661620066, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139554448E9, 0.0, 2025-11-15 11:48:33.955
4.0, -364.3466635332443, -308.0405997503549, -306.39130386989564, 283.2282334943302, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139678476E9, 0.0, 2025-11-15 11:48:33.967
4.0, -195.54627903318033, -179.05519017856568, -277.9792839065194, 171.7810847647488, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139678476E9, 0.0, 2025-11-15 11:48:33.967
5.0, -129.5389147652313, -31.424509377684444, -513.5929811149836, 5.355536736547947, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139835012E9, 0.0, 2025-11-15 11:48:33.983
5.0, 98.17050388688222, 157.58068463299423, -325.5377216930501, -219.89489769469947, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632253139835012E9, 0.0, 2025-11-15 11:48:33.983
6.0, 37.54111575521529, 63.09398220246658, -490.02413159422576, 20.5657098563388, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763225313984228E9, 0.0, 2025-11-15 11:48:33.984
6.0, 140.72121563274413, 220.36799503909424, -309.0054939389229, 151.2191148083657, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763225313984228E9, 0.0, 2025-11-15 11:48:33.984
7.0, 68.3653711900115, 144.81453613424674, -321.3284642929211, 269.23726776009426, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763225313997877E9, 0.0, 2025-11-15 11:48:33.997
7.0, 274.6395532460883, 302.55229656537995, -208.79113472625613, 357.10247731907293, 0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763225313997877E9, 0.0, 2025-11-15 11:48:33.997
