# Experiment: OpenBCISession_2025-11-15_11-29-43
# Original file: OpenBCI-RAW-2025-11-15_12-33-39.txt
# Duration: 1.0 minutes
# Sample rate: 200 Hz
# Sample count: 12535
# Board: OpenBCI_GUI$BoardGanglionBLE
#
sample_index,eeg_ch0,eeg_ch1,eeg_ch2,eeg_ch3,timestamp_unix
26.0,95.66664086654782,86.4477874757722,57.59445931762457,56.26679483335465,2025-11-15 17:33:39.125504732
26.0,176.12684851326048,167.60735641419888,139.98445534147322,132.38871853146702,2025-11-15 17:33:39.125504732
0.0,-258.24757174029946,-171.5398612176068,-198.34559415001422,-168.16647145757452,2025-11-15 17:33:39.155307531
1.0,-94.46613298077136,-34.221954544540495,-92.74203910119832,-69.63132732501253,2025-11-15 17:33:39.168721676
1.0,-154.79445916600525,-79.36254700971767,-104.25719106476754,-78.50610991986468,2025-11-15 17:33:39.168721676
2.0,-269.48597110714763,-178.8476257310249,-193.00501701328903,-165.44008438987657,2025-11-15 17:33:39.185433149
2.0,-169.64560189004987,-108.60108486330137,-145.26145417895168,-114.11369739798829,2025-11-15 17:33:39.185433149
3.0,-94.39881478156894,-27.785586720798165,-72.31844544317573,-45.5575913102366,2025-11-15 17:33:39.186165571
3.0,-277.6127737108618,-184.64073076238856,-200.44741792511195,-163.56639451207593,2025-11-15 17:33:39.186165571
4.0,-230.33295847103,-153.35646763304248,-185.47659840248525,-152.48133104341105,2025-11-15 17:33:39.198537588
4.0,-64.73018843308091,-0.11032704869285226,-63.19682945124805,-40.677021868061274,2025-11-15 17:33:39.198537588
5.0,-237.97731398046017,-146.33293551625684,-166.99027292151004,-136.18658693647012,2025-11-15 17:33:39.214222670
5.0,-263.8649014737457,-179.00844142911956,-204.8754594726488,-168.77233525039628,2025-11-15 17:33:39.214222670
6.0,-102.26382438838482,-34.569765240419656,-95.90225456375629,-73.39740658039227,2025-11-15 17:33:39.214926004
6.0,-160.60626369714737,-76.3855866449885,-103.41197367478162,-77.9825239260681,2025-11-15 17:33:39.214926004
7.0,-268.6108345175162,-181.35335870133713,-203.0204690946266,-164.73698319820687,2025-11-15 17:33:39.228570223
7.0,-172.68240065407008,-103.4774219240062,-148.82557883672416,-114.7793995901011,2025-11-15 17:33:39.228570223
8.0,-87.1546285673976,-22.78534048004076,-73.2571603320539,-47.01241239299998,2025-11-15 17:33:39.244287014
8.0,-266.44917234312743,-171.47628291836008,-187.6831393763423,-151.37432065652683,2025-11-15 17:33:39.244287014
9.0,-240.83459754660726,-159.74421675736085,-182.78387043438852,-145.69341262383386,2025-11-15 17:33:39.244934082
9.0,-57.01103492453694,0.843347440008074,-60.64995758142322,-43.56422463385388,2025-11-15 17:33:39.244934082
10.0,-232.54697924479842,-138.2734511117451,-160.53520559798926,-129.03589822119102,2025-11-15 17:33:39.258542775
10.0,-262.4586990904063,-174.71877617994323,-196.69629826955497,-150.057875872124,2025-11-15 17:33:39.258542775
11.0,-99.09986902587116,-38.4443015945144,-100.58834920823574,-75.88444005092606,2025-11-15 17:33:39.274202585
11.0,-150.13080392125994,-80.28256239881739,-115.86584052722901,-88.93295099632815,2025-11-15 17:33:39.274202585
12.0,-258.4233470382169,-175.46675617108122,-201.3188146147877,-169.9466638364829,2025-11-15 17:33:39.274940491
12.0,-176.32880311086774,-100.64631765754893,-150.38885701820254,-127.2295265425928,2025-11-15 17:33:39.274940491
13.0,-92.51764510385692,-24.172843363601714,-73.34691793099046,-58.17601376073435,2025-11-15 17:33:39.288621187
13.0,-274.2431238507852,-179.1430778275244,-195.4583913842216,-164.34803360281512,2025-11-15 17:33:39.288621187
14.0,-236.19712160155177,-157.48157728416845,-190.7535972399637,-164.59112709993497,2025-11-15 17:33:39.303960085
14.0,-69.90247007180005,-11.45344361430034,-70.42979596555233,-49.83603685954586,2025-11-15 17:33:39.303960085
15.0,-232.47218124568462,-155.6826854054816,-173.46029984485358,-141.53838377306238,2025-11-15 17:33:39.319282770
15.0,-259.69491302315146,-178.83640603115782,-210.4366907067597,-166.93978427210823,2025-11-15 17:33:39.319282770
16.0,-99.03255082666874,-47.76039238413796,-117.97888400219381,-82.97155046695843,2025-11-15 17:33:39.319939375
16.0,-166.13757573161274,-89.31442079180852,-124.2095573283732,-90.91883787279949,2025-11-15 17:33:39.319939375
17.0,-271.18388568703085,-190.5198534927331,-216.50280843488872,-172.66183120431378,2025-11-15 17:33:39.334205627
17.0,-171.0854633729905,-105.71014219755307,-154.01655997522175,-126.87423604680225,2025-11-15 17:33:39.334205627
18.0,-78.14520957414061,-9.624632535967976,-62.46380905993283,-41.103370463009924,2025-11-15 17:33:39.334903240
