# Experiment: OpenBCISession_2025-11-15_11-29-43
# Original file: OpenBCI-RAW-2025-11-15_12-42-56.txt
# Duration: 1.1 minutes
# Sample rate: 200 Hz
# Sample count: 12663
# Board: OpenBCI_GUI$BoardGanglionBLE
#
sample_index,eeg_ch0,eeg_ch1,eeg_ch2,eeg_ch3,timestamp_unix
52.0,-97.72358584217727,-32.85876101069152,-2.0681646754965186,-17.30077719502151,2025-11-15 17:42:56.305906057
52.0,111.02267008461058,72.80089253745973,135.3282798966393,89.18539424333721,2025-11-15 17:42:56.305906057
0.0,-134.81030375277624,-53.66195451421663,-119.07841458916664,-82.93228151742369,2025-11-15 17:42:56.336211681
1.0,-221.14589422987774,-121.46260081091896,-168.6395688019693,-139.7712810439989,2025-11-15 17:42:56.349680424
1.0,-248.95953020034358,-151.92408595001325,-195.8286414798349,-165.12406284362078,2025-11-15 17:42:56.349680424
2.0,-112.40830301819369,-63.206179201137275,-132.82254692632705,-96.55299715604633,2025-11-15 17:42:56.366402864
2.0,-152.37661384465173,-68.29992294078693,-118.42393209692091,-81.06233153957874,2025-11-15 17:42:56.366402864
3.0,-298.1691338173114,-173.49956879438832,-214.04195426404476,-173.91282773949206,2025-11-15 17:42:56.367123604
3.0,-194.0390993510373,-125.598930161912,-188.98462456092238,-162.61085007339716,2025-11-15 17:42:56.367123604
4.0,-117.63294325629249,-46.313051101285964,-110.63746038917452,-73.63489022757858,2025-11-15 17:42:56.395902634
4.0,-270.1198841496371,-151.55383585439995,-196.93939176667482,-161.17472849041224,2025-11-15 17:42:56.395902634
5.0,-242.22023048019037,-143.93191974470392,-198.10250065289438,-167.09499012026936,2025-11-15 17:42:56.396610022
5.0,-123.560684686061,-51.915421234909445,-115.17769893538207,-64.76010763272643,2025-11-15 17:42:56.396610022
6.0,-210.31140405824408,-112.07919182209298,-158.16784892603755,-130.92641764879227,2025-11-15 17:42:56.397366762
6.0,-246.70437052706257,-150.52536336658522,-199.8752132318914,-175.85009591653943,2025-11-15 17:42:56.397366762
7.0,-165.84399358509108,-90.5411079772748,-155.0338127631694,-109.72492479998618,2025-11-15 17:42:56.409519672
7.0,-156.38204669719562,-72.08470169594511,-126.1356058055535,-88.42619455233216,2025-11-15 17:42:56.409519672
8.0,-265.45622890489176,-157.47783738421276,-206.66687155142426,-182.0171909434721,2025-11-15 17:42:56.425278425
8.0,-173.64168499270454,-102.63594443397596,-169.82885698787868,-135.53397439420223,2025-11-15 17:42:56.425278425
