# Experiment: OpenBCISession_2025-11-15_11-29-43
# Original file: OpenBCI-RAW-2025-11-15_12-44-39.txt
# Duration: 1.1 minutes
# Sample rate: 200 Hz
# Sample count: 12899
# Board: OpenBCI_GUI$BoardGanglionBLE
#
sample_index,eeg_ch0,eeg_ch1,eeg_ch2,eeg_ch3,timestamp_unix
98.0,42.806894892826676,34.64269328955561,37.03622926119715,49.10862631816417,2025-11-15 17:44:39.338121891
98.0,-28.064209267497063,-19.967325863428414,-10.976606369949877,-37.200784859247506,2025-11-15 17:44:39.338121891
0.0,-152.7375141903758,-81.69250468211249,-127.38286244077608,-84.59092714777216,2025-11-15 17:44:39.360130787
1.0,-222.33705236576498,-129.53704481525347,-169.45673694228753,-158.44647147273645,2025-11-15 17:44:39.373516798
1.0,-217.66965722106397,-131.29479779442772,-175.63505166908726,-163.03532871836796,2025-11-15 17:44:39.373516798
2.0,-160.82691779453307,-85.8737128325738,-135.50966504449025,-90.14467858197168,2025-11-15 17:44:39.390232086
2.0,-196.47938407212496,-107.58383207535371,-148.28142339317128,-138.66988050704822,2025-11-15 17:44:39.390232086
3.0,-230.35913777071983,-137.33473622286692,-177.33670614892617,-175.78464766731486,2025-11-15 17:44:39.390972853
3.0,-182.58939563669264,-100.22370896255597,-147.24921100540087,-116.43617527047172,2025-11-15 17:44:39.390972853
4.0,-166.5938435262069,-87.97553660767153,-133.10116947302595,-99.9544361657463,2025-11-15 17:44:39.403343201
4.0,-229.98140787519515,-143.91696014488116,-185.48968805233017,-181.19628290319815,2025-11-15 17:44:39.403343201
5.0,-204.6884644748643,-129.21915331901982,-176.16611746279523,-150.89561346219853,2025-11-15 17:44:39.419083118
5.0,-153.30223908368498,-77.95260472642258,-130.71885320125148,-76.74461704073474,2025-11-15 17:44:39.419083118
6.0,-222.72226206120104,-132.1213156846352,-168.16273155761883,-162.67255842266604,2025-11-15 17:44:39.419782639
6.0,-220.01831439323723,-129.06207752088085,-175.67245066864416,-162.56036142399535,2025-11-15 17:44:39.419782639
7.0,-159.94804130494595,-88.23732960456982,-145.18478622986004,-105.7363214972429,2025-11-15 17:44:39.433332443
7.0,-188.22542486991733,-106.16267009219155,-149.1266407831572,-138.55768350837752,2025-11-15 17:44:39.433332443
8.0,-229.90660987608135,-135.99959193868563,-181.439376400318,-181.31595970178023,2025-11-15 17:44:39.449067116
8.0,-176.13058841321617,-103.70181592134759,-154.89356651483104,-117.8535973536782,2025-11-15 17:44:39.449067116
9.0,-170.90220827516168,-96.34169280854985,-138.54272390855476,-106.23372819134966,2025-11-15 17:44:39.449784279
9.0,-217.07501312810928,-135.03469775011763,-181.40945720067248,-170.33935333183035,2025-11-15 17:44:39.449784279
10.0,-192.82176191546023,-119.1513426383026,-168.43948415433988,-144.09647534275427,2025-11-15 17:44:39.463335276
10.0,-154.001600375399,-79.61686020670459,-127.6334357378073,-81.53168898401782,2025-11-15 17:44:39.463335276
11.0,-213.11445907503366,-124.31614447711036,-167.63540566386655,-160.1668254523538,2025-11-15 17:44:39.479081154
11.0,-216.2110962383449,-130.94324719859287,-180.1079720160924,-171.27806822070852,2025-11-15 17:44:39.479081154
12.0,-159.17762191407382,-94.00425533624366,-149.96063847327605,-102.34797213738784,2025-11-15 17:44:39.479779959
12.0,-187.61582117713988,-116.30901867197827,-159.2430701632984,-140.0499035906978,2025-11-15 17:44:39.479779959
13.0,-228.7397610899061,-146.51993051404133,-186.08433214528486,-164.25827600387856,2025-11-15 17:44:39.493333578
