# Experiment: OpenBCISession_2025-11-15_11-29-43
# Original file: OpenBCI-RAW-2025-11-15_12-26-33.txt
# Duration: 1.1 minutes
# Sample rate: 200 Hz
# Sample count: 13088
# Board: OpenBCI_GUI$BoardGanglionBLE
#
sample_index,eeg_ch0,eeg_ch1,eeg_ch2,eeg_ch3,timestamp_unix
0.0,-225.56458602752537,-123.67662158468738,-164.45649070153013,-146.306756216567,2025-11-15 17:26:33.378597975
1.0,-213.12193887494504,-122.70050769625232,-168.3609462552704,-141.54960347292945,2025-11-15 17:26:33.379214287
1.0,-76.19672169722617,1.931658327113837,-57.27843777136877,-13.962916484568268,2025-11-15 17:26:33.379214287
2.0,-196.92817206680775,-97.89001139020547,-133.03011137386784,-110.57575203990564,2025-11-15 17:26:33.393885374
2.0,-241.14500924292952,-143.1988993533887,-179.0346207288094,-141.50472467346117,2025-11-15 17:26:33.393885374
3.0,-118.95125799067318,-40.33669097209349,-99.75996136805043,-55.595482791308314,2025-11-15 17:26:33.395299435
3.0,-128.75727567449212,-35.20180833293125,-80.67525189416483,-49.910834858659655,2025-11-15 17:26:33.395299435
4.0,-223.5861789509654,-127.05001134471968,-169.34080004366115,-142.32002286380157,2025-11-15 17:26:33.407659531
4.0,-171.79604436457157,-86.72267012251541,-140.70064618298784,-99.97687556548044,2025-11-15 17:26:33.407659531
5.0,-90.53549812734127,-7.380692562554032,-59.110988749656826,-17.96086953720078,2025-11-15 17:26:33.423315525
5.0,-206.621992751956,-112.30732571939006,-156.36334719741717,-132.27465158281848,2025-11-15 17:26:33.423315525
6.0,-221.11410508025438,-116.87374356528744,-155.81732180388644,-122.61448999727145,2025-11-15 17:26:33.424023628
6.0,-85.14630229119211,5.791235081385821,-49.22269326681271,-0.9817237383686006,2025-11-15 17:26:33.424023628
7.0,-182.76517093461007,-86.4646170255728,-122.2965985010378,-100.92681015422568,2025-11-15 17:26:33.437651634
7.0,-237.28543248865753,-141.09333567833528,-174.59909938136116,-137.38709482224658,2025-11-15 17:26:33.437651634
8.0,-110.24103099387139,-37.28493260825053,-84.9499575435184,-31.12157748127356,2025-11-15 17:26:33.453320503
