# Experiment: OpenBCISession_2025-11-03_16-09-29
# Original file: OpenBCI-RAW-2025-11-03_16-53-41.txt
# Duration: 1.3 minutes
# Sample rate: 200 Hz
# Sample count: 15419
# Board: OpenBCI_GUI$BoardGanglionBLE
#
sample_index,eeg_ch0,eeg_ch1,eeg_ch2,eeg_ch3,timestamp_unix
0.0,240.63077299902216,-61.01459782710299,247.94788726232946,22.342162335291505,2025-11-03 21:53:41.583763599
1.0,205.9656403097324,-90.46630997816101,219.176836903207,-15.038137721829116,2025-11-03 21:53:41.597223282
1.0,247.2466560206376,-61.29883022373542,258.0044782431796,41.82704110443592,2025-11-03 21:53:41.597223282
2.0,323.92956471210346,5.065694489981979,326.99441272579134,137.92377046588808,2025-11-03 21:53:41.613941669
2.0,183.32054607803002,-126.95277394587174,165.483093239367,368.91682127909735,2025-11-03 21:53:41.613941669
3.0,189.3642244064249,-123.68410138459876,191.9092263262719,434.2902725045569,2025-11-03 21:53:41.614680290
3.0,322.9833700233139,-1.0527818375267088,326.7849783282727,585.3784908144735,2025-11-03 21:53:41.614680290
4.0,198.82617129432037,-105.12671780446544,202.19395120441914,464.84899504249915,2025-11-03 21:53:41.627053499
4.0,189.37918400624767,-111.74260082608089,200.6119735231623,458.84645561361685,2025-11-03 21:53:41.627053499
5.0,313.1362134399824,1.9428780269809067,328.8606228036806,614.426293770317,2025-11-03 21:53:41.642811298
5.0,255.23508232599124,-58.44528655754402,252.64894150663167,503.6990757822059,2025-11-03 21:53:41.642811298
6.0,179.42357032420114,-134.29045765893534,155.5947977565229,383.14714061049744,2025-11-03 21:53:41.643495083
6.0,273.2539203125052,-46.04377830447629,253.80457059293985,490.41869103955105,2025-11-03 21:53:41.643495083
7.0,286.69512075325474,-30.306279290933162,259.6687337234616,466.5843086219393,2025-11-03 21:53:41.657214403
7.0,205.2288800184615,-97.61699869344011,224.00878764595836,545.3540814886801,2025-11-03 21:53:41.657214403
8.0,212.0504575376399,-115.56103868084028,178.47924558538944,400.44791780551895,2025-11-03 21:53:41.673161507
8.0,300.95535928430036,-17.751435139682144,306.4810614688322,586.9829078954645,2025-11-03 21:53:41.673161507
9.0,210.58067685505375,-90.67948427563533,229.4054632820189,529.1677944804542,2025-11-03 21:53:41.673533201
9.0,191.12197738559917,-127.06123104458675,157.22913403715938,381.28467043256387,2025-11-03 21:53:41.673533201
