%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
76.0, -35.0166832851246, -36.50516346748918, -40.77986911684275, -36.30694876983762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480259135E9, 0.0, 2025-11-03 17:02:28.025
76.0, -245.2663789940998, 51.63305878825486, -224.79416663665324, -12.573543651029468, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480259135E9, 0.0, 2025-11-03 17:02:28.025
0.0, 200.98783346870914, -93.5274180918932, 183.48323172610253, -22.29167368588969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480572548E9, 0.0, 2025-11-03 17:02:28.057
1.0, 204.7501728241332, -88.79270474798977, 195.7276641810313, -13.585186589043587, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480706165E9, 0.0, 2025-11-03 17:02:28.070
1.0, 194.9628546400927, -102.07682939060032, 176.81873000506312, -41.94858785299584, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480706165E9, 0.0, 2025-11-03 17:02:28.070
2.0, 236.00451675383374, -63.424963348545134, 218.31292001344264, 9.501215837430209, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480872824E9, 0.0, 2025-11-03 17:02:28.087
2.0, 250.53776798164472, -50.60084640048444, 230.32547867111862, 24.34487876156345, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480872824E9, 0.0, 2025-11-03 17:02:28.087
3.0, 191.16685618506745, -106.30665624048561, 176.12684851326048, -23.739014968741685, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480880377E9, 0.0, 2025-11-03 17:02:28.088
3.0, 219.3432624512352, -75.68809530325234, 206.1021466581151, -7.717283558566123, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073480880377E9, 0.0, 2025-11-03 17:02:28.088
4.0, 229.78506312752143, -65.92695641890168, 217.46770262345672, 2.492643320467323, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073481003847E9, 0.0, 2025-11-03 17:02:28.100
4.0, 225.4579988787882, -70.2540206676349, 207.51956874132156, 2.4851635205559433, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073481003847E9, 0.0, 2025-11-03 17:02:28.100
5.0, 201.13368956698105, -89.61922263819724, 195.65660608187318, -13.237375893164426, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622073481325853E9, 0.0, 2025-11-03 17:02:28.132
