%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 202.9699804452248, -136.52130798250437, 144.28160039056093, -117.13366661220789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065294488444E9, 0.0, 2025-11-03 16:48:49.448
1.0, 245.8367137373425, -97.01674475055188, 185.54765650164336, -69.44620227720588, 0.0, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065294621124E9, 0.0, 2025-11-03 16:48:49.462
1.0, 367.8920886912383, 11.795644460245967, 307.3337586587295, 47.77722193393856, 0.0, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065294621124E9, 0.0, 2025-11-03 16:48:49.462
2.0, 235.93345865467563, -101.49714489746839, 182.3425622396171, -70.58313186373562, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206529478948E9, 0.0, 2025-11-03 16:48:49.478
2.0, 213.25470532337204, -123.02774894237518, 158.72883391939104, -98.30327033530921, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206529478948E9, 0.0, 2025-11-03 16:48:49.478
3.0, 340.3701649173163, -19.77285106573254, 271.4307190841064, 22.14020773768425, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206529479564E9, 0.0, 2025-11-03 16:48:49.479
3.0, 276.67966867191717, -65.49312802404165, 229.1137510854751, -7.842570207081735, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206529479564E9, 0.0, 2025-11-03 16:48:49.479
4.0, 213.7109731179662, -121.73748345766217, 164.34990355279297, -82.60317032132298, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065294919505E9, 0.0, 2025-11-03 16:48:49.491
4.0, 296.6133354357444, -53.772281562909484, 234.64132321998477, -17.525171192362905, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065294919505E9, 0.0, 2025-11-03 16:48:49.491
5.0, 334.64063818519935, -19.33528277091682, 272.2684566741809, 24.07747591473162, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295076687E9, 0.0, 2025-11-03 16:48:49.507
5.0, 211.28751794667915, -123.25962273962796, 163.0072794687003, -83.26513261348009, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295076687E9, 0.0, 2025-11-03 16:48:49.507
6.0, 259.2479949784465, -89.38734884094447, 194.5720350947231, -55.9152442375198, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295091896E9, 0.0, 2025-11-03 16:48:49.509
6.0, 388.74203094420955, 29.80326274689287, 324.3390837572515, 72.15014994516969, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295091896E9, 0.0, 2025-11-03 16:48:49.509
7.0, 231.69989190483466, -102.40594058670104, 181.91621364466846, -65.86337811965495, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295220165E9, 0.0, 2025-11-03 16:48:49.522
7.0, 232.11876069987193, -107.03219683188945, 175.37138872221112, -60.111411987803876, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295220165E9, 0.0, 2025-11-03 16:48:49.522
8.0, 351.5487258848734, -9.6713812854141, 280.37281987816095, 25.666933395899832, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295376968E9, 0.0, 2025-11-03 16:48:49.537
8.0, 296.7591915340163, -45.46222386136651, 240.03051905613393, -9.465686787851155, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295376968E9, 0.0, 2025-11-03 16:48:49.537
9.0, 209.34650986967608, -120.39485937356949, 163.68046146072447, -81.1146901389584, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295383713E9, 0.0, 2025-11-03 16:48:49.538
9.0, 283.1609152951278, -65.19767592754215, 227.0717657096684, -9.196413991041481, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295383713E9, 0.0, 2025-11-03 16:48:49.538
10.0, 350.0004073032178, 0.8639168897643685, 296.34219268895686, 48.23722962848842, -0.03200000151991844, -0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206529551974E9, 0.0, 2025-11-03 16:48:49.551
10.0, 228.33398194471374, -108.43091941531748, 173.2284260476008, -61.83924576733261, -0.03200000151991844, -0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206529551974E9, 0.0, 2025-11-03 16:48:49.551
11.0, 253.33521314850077, -88.32521725352854, 198.22591735143214, -31.80784912314266, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295846498E9, 0.0, 2025-11-03 16:48:49.584
11.0, 361.62401636550203, 2.6740284683182836, 287.71798339113593, 9.888295482844114, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295846498E9, 0.0, 2025-11-03 16:48:49.584
12.0, 237.25738323898986, -94.51101178023964, 193.29298930987716, -53.96675636060536, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622065295851762E9, 0.0, 2025-11-03 16:48:49.585
