%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 335.2128428784199, 2.735736817587167, 311.96188485389575, 50.96174674620852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748018675E9, 0.0, 2025-11-03 16:47:54.801
1.0, 319.2135508679785, 1.3033551345579326, 311.6178140579723, 44.58895722171292, 0.0, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748152733E9, 0.0, 2025-11-03 16:47:54.815
1.0, 218.61024205991998, -96.55486710602418, 204.57813742617145, -47.853889883030206, 0.0, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748152733E9, 0.0, 2025-11-03 16:47:54.815
2.0, 259.34149247733876, -57.985278862994164, 243.14024586929008, -17.46346284309402, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748319519E9, 0.0, 2025-11-03 16:47:54.831
2.0, 370.4613999607973, 39.53635238157585, 348.803639317397, 81.63266628282145, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748319519E9, 0.0, 2025-11-03 16:47:54.831
3.0, 238.81692152051255, -78.67440541787073, 221.81159642199054, -32.995267359074205, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748326955E9, 0.0, 2025-11-03 16:47:54.832
3.0, 243.4282181658782, -75.43939195619896, 225.68987267604098, -27.19094262784347, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748326955E9, 0.0, 2025-11-03 16:47:54.832
4.0, 377.604608876165, 37.62526350421831, 346.7466943417676, 83.53627536026761, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474845075E9, 0.0, 2025-11-03 16:47:54.845
4.0, 255.72126932023093, -56.21630618395284, 248.38732550712302, -10.69424392329529, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474845075E9, 0.0, 2025-11-03 16:47:54.845
5.0, 227.70941865211353, -94.14637153455988, 212.1925737359561, -45.841823706869036, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748608198E9, 0.0, 2025-11-03 16:47:54.860
5.0, 336.05058046849445, -1.40433243336156, 311.15406646346673, 51.29833774222061, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748608198E9, 0.0, 2025-11-03 16:47:54.860
6.0, 329.19534384971485, 7.298414763528854, 313.85053433151916, 54.80636390065774, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748615043E9, 0.0, 2025-11-03 16:47:54.861
6.0, 228.60325474152341, -89.58743348857388, 204.1181297316216, -51.73964593699202, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748615043E9, 0.0, 2025-11-03 16:47:54.861
7.0, 292.7874177810736, -37.68510190350935, 259.8762981710024, 3.218183911871165, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748751292E9, 0.0, 2025-11-03 16:47:54.875
7.0, 357.6410229126923, 29.498460900504142, 340.78529381239787, 78.55098871933296, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748751292E9, 0.0, 2025-11-03 16:47:54.875
8.0, 209.18569417158142, -101.45413604797795, 199.49187348643318, -51.863062635529786, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748908932E9, 0.0, 2025-11-03 16:47:54.890
8.0, 243.40203886618838, -74.51189676718786, 222.24542481685057, -35.1457098335959, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748908932E9, 0.0, 2025-11-03 16:47:54.890
9.0, 362.3009382574819, 23.95218926621601, 332.27328151324764, 71.59851470170543, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748915088E9, 0.0, 2025-11-03 16:47:54.891
9.0, 260.75891456054524, -63.43805299839005, 237.2760827387683, -19.640084617305547, -0.03200000151991844, -0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064748915088E9, 0.0, 2025-11-03 16:47:54.891
10.0, 238.99643671838567, -93.79856083868071, 205.64026901358739, -48.11194297997281, -0.03200000151991844, -0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749215362E9, 0.0, 2025-11-03 16:47:54.921
10.0, 334.2516885898076, -2.286948822904378, 306.70358551619574, 49.34610996535048, -0.03200000151991844, -0.03200000151991844, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749215362E9, 0.0, 2025-11-03 16:47:54.921
11.0, 308.9699648893438, -16.461169654969126, 290.4499803087674, 35.89368982473388, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474922176E9, 0.0, 2025-11-03 16:47:54.922
11.0, 197.34517091186717, -120.2994919246994, 175.60887236939743, -79.23539041122422, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474922176E9, 0.0, 2025-11-03 16:47:54.922
12.0, 273.42595571046695, -54.39497490553185, 249.59531319281086, -5.297568287234753, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474922932E9, 0.0, 2025-11-03 16:47:54.922
12.0, 363.76323914015666, 28.054859517607838, 335.42227727593854, 79.4635243085213, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474922932E9, 0.0, 2025-11-03 16:47:54.922
13.0, 210.36002275766805, -102.8827778310515, 194.72724094288424, -59.114728649612516, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474935305E9, 0.0, 2025-11-03 16:47:54.935
13.0, 248.60049980459735, -83.55123496009037, 215.1919735004194, -35.30278563173488, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206474935305E9, 0.0, 2025-11-03 16:47:54.935
14.0, 377.80282357381657, 36.08068482251838, 345.4414692572318, 92.9122045491822, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749508429E9, 0.0, 2025-11-03 16:47:54.950
14.0, 267.23642128380015, -55.101815997157246, 243.3982989662327, 0.080407849047333, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749508429E9, 0.0, 2025-11-03 16:47:54.950
15.0, 221.61712162429467, -101.2147824508138, 197.2554133129306, -55.22523269569501, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749515276E9, 0.0, 2025-11-03 16:47:54.951
15.0, 328.78769475454465, -15.155944570433348, 292.39098838577047, 35.07465173443779, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749515276E9, 0.0, 2025-11-03 16:47:54.951
16.0, 322.10823343368247, -11.416044614743441, 299.0068714073859, 40.9275951650925, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749652812E9, 0.0, 2025-11-03 16:47:54.965
16.0, 214.7918042051606, -104.39743731310591, 196.06612512702122, -50.311004153918475, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749652812E9, 0.0, 2025-11-03 16:47:54.965
17.0, 267.94700227538124, -63.4193534986116, 241.5358287882991, -17.837452838663012, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749808862E9, 0.0, 2025-11-03 16:47:54.980
17.0, 356.0328659317456, 15.960023060906678, 327.4712499701418, 65.55857627326623, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749808862E9, 0.0, 2025-11-03 16:47:54.980
18.0, 228.4237395436503, -90.57102717692032, 209.72049986524507, -41.38012305973098, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749814978E9, 0.0, 2025-11-03 16:47:54.981
18.0, 249.33726009586826, -78.0535820252262, 221.7891570222564, -33.006487058941275, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749814978E9, 0.0, 2025-11-03 16:47:54.981
19.0, 368.8943818793632, 24.625371258240193, 331.7422157195397, 73.54700257861987, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749951935E9, 0.0, 2025-11-03 16:47:54.995
19.0, 256.0653401161544, -70.98891100892797, 235.3575140614994, -18.25258173374459, -0.03200000151991844, -0.04800000227987766, 0.5280000250786543, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064749951935E9, 0.0, 2025-11-03 16:47:54.995
20.0, 237.5752747352235, -91.18437076965347, 212.94429362704977, -35.037252734880894, -0.03200000151991844, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206475010802E9, 0.0, 2025-11-03 16:47:55.010
20.0, 315.11088061658666, -25.392050749156624, 291.8262634924613, 47.97730658156797, -0.03200000151991844, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206475010802E9, 0.0, 2025-11-03 16:47:55.010
21.0, 330.0704804393463, -10.765302022453398, 304.03329694783315, 62.09542891429737, -0.03200000151991844, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750115063E9, 0.0, 2025-11-03 16:47:55.011
21.0, 219.39188115065917, -103.6980760213919, 201.8966291579418, -47.2255866904743, -0.03200000151991844, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750115063E9, 0.0, 2025-11-03 16:47:55.011
22.0, 249.86458598962054, -87.92317800829187, 217.77624436980113, -32.93542895978317, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750251632E9, 0.0, 2025-11-03 16:47:55.025
22.0, 362.10272355983034, 14.501462078187615, 323.73882981436327, 69.6425470248796, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750251632E9, 0.0, 2025-11-03 16:47:55.025
23.0, 234.97604426601902, -87.84090020926669, 212.11029593693092, -39.53635238157585, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750571916E9, 0.0, 2025-11-03 16:47:55.057
23.0, 242.38104617828503, -87.23877631640062, 210.95092695066705, -36.35743741923943, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750571916E9, 0.0, 2025-11-03 16:47:55.057
24.0, 384.6431005927734, 42.05704495171085, 345.0076408623718, 89.875405785162, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206475057896E9, 0.0, 2025-11-03 16:47:55.057
24.0, 258.15220429142937, -63.572689396794885, 235.3911731611006, -18.36477873241529, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.762206475057896E9, 0.0, 2025-11-03 16:47:55.057
25.0, 239.5798611114733, -86.34868012694642, 211.0780835491605, -35.874990324955434, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750586343E9, 0.0, 2025-11-03 16:47:55.058
25.0, 331.63375862082466, -8.887872244697064, 293.65133467083797, 40.9275951650925, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750586343E9, 0.0, 2025-11-03 16:47:55.058
26.0, 314.7593300207518, -19.322193121071905, 286.4108883566223, 35.818891825620085, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750593913E9, 0.0, 2025-11-03 16:47:55.059
26.0, 210.68539405381307, -113.28343960782513, 182.86053838348016, -64.33562898775563, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750593913E9, 0.0, 2025-11-03 16:47:55.059
27.0, 278.9348283451982, -61.923393516335636, 231.7971293036826, -18.75372832780704, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750701928E9, 0.0, 2025-11-03 16:47:55.070
27.0, 378.58072276460007, 30.687749086413532, 335.5045550749637, 83.03886866616085, -0.04800000227987766, -0.04800000227987766, 0.7840000372380018, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7622064750701928E9, 0.0, 2025-11-03 16:47:55.070
